name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter sp. LUNF3	2925837	S	12	8	20	0.00004
Acinetobacter sp. WCHAc010052	2004647	S	11	1	12	0.00003
Acinetobacter sp. YH16056_T	2929514	S	11	9	20	0.00004
Acinetobacter sp. ASP199	2773709	S	11	0	11	0.00002
Acinetobacter sp. SH20PTE14	2905879	S	11	10	21	0.00005
Acinetobacter sp. NEB149	2725684	S	10	5	15	0.00003
Acinetobacter sp. TAC-1	3027470	S	10	3	13	0.00003
Acinetobacter sp. ANC 7933	3151494	S	10	0	10	0.00002
Acinetobacter johnsonii	40214	S	2655	429	3084	0.00694
Acinetobacter baumannii	470	S	551	1715	2266	0.00510
Acinetobacter pittii	48296	S	109	19	128	0.00029
Acinetobacter nosocomialis	106654	S	64	19	83	0.00019
Acinetobacter seifertii	1530123	S	60	3	63	0.00014
Acinetobacter calcoaceticus	471	S	28	1	29	0.00007
Acinetobacter towneri	202956	S	692	174	866	0.00195
Acinetobacter junii	40215	S	364	91	455	0.00102
Acinetobacter ursingii	108980	S	214	43	257	0.00058
Acinetobacter haemolyticus	29430	S	184	11	195	0.00044
Acinetobacter indicus	756892	S	162	9	171	0.00038
Acinetobacter lwoffii	28090	S	131	26	157	0.00035
Acinetobacter venetianus	52133	S	95	4	99	0.00022
Acinetobacter cumulans	2136182	S	91	3	94	0.00021
Acinetobacter wuhouensis	1879050	S	90	4	94	0.00021
Acinetobacter schindleri	108981	S	72	5	77	0.00017
Acinetobacter soli	487316	S	54	8	62	0.00014
Acinetobacter piscicola	2006115	S	49	2	51	0.00011
Acinetobacter bouvetii	202951	S	44	0	44	0.00010
Acinetobacter bereziniae	106648	S	41	5	46	0.00010
Acinetobacter variabilis	70346	S	37	7	44	0.00010
Acinetobacter tibetensis	2943497	S	30	0	30	0.00007
Acinetobacter proteolyticus	1776741	S	29	2	31	0.00007
Acinetobacter pseudolwoffii	2053287	S	28	6	34	0.00008
Acinetobacter colistiniresistens	280145	S	25	0	25	0.00006
Acinetobacter wanghuae	2662362	S	25	0	25	0.00006
Acinetobacter guillouiae	106649	S	22	2	24	0.00005
Acinetobacter radioresistens	40216	S	22	1	23	0.00005
Acinetobacter gerneri	202952	S	21	28	49	0.00011
Acinetobacter larvae	1789224	S	21	0	21	0.00005
Acinetobacter baylyi	202950	S	20	0	20	0.00004
Acinetobacter vivianii	1776742	S	19	0	19	0.00004
Acinetobacter chinensis	2004650	S	18	1	19	0.00004
Acinetobacter defluvii	1871111	S	15	0	15	0.00003
Acinetobacter lanii	2715163	S	14	0	14	0.00003
Acinetobacter shaoyimingii	2715164	S	13	0	13	0.00003
Acinetobacter dispersus	70348	S	12	0	12	0.00003
Acinetobacter equi	1324350	S	12	0	12	0.00003
Acinetobacter suaedae	2609668	S	11	0	11	0.00002
Acinetobacter portensis	1839785	S	10	3	13	0.00003
Acinetobacter septicus	465797	S	10	3	13	0.00003
Moraxella osloensis	34062	S	2420	216	2636	0.00593
Moraxella sp. FZFQ2102	2953752	S	114	62	176	0.00040
Moraxella sp. K02	3149046	S	47	0	47	0.00011
Moraxella sp. K23	3149047	S	37	0	37	0.00008
Moraxella sp. DOX410	3076087	S	30	16	46	0.00010
Moraxella sp. K1664	2780077	S	26	0	26	0.00006
Moraxella bovoculi	386891	S	205	32	237	0.00053
Moraxella canis	90239	S	25	0	25	0.00006
Moraxella bovis	476	S	23	0	23	0.00005
Moraxella ovis	29433	S	23	5	28	0.00006
Moraxella haemolytica	2904119	S	18	0	18	0.00004
Moraxella nasibovis	2904120	S	18	0	18	0.00004
Moraxella cuniculi	34061	S	12	0	12	0.00003
Moraxella catarrhalis	480	S	11	1	12	0.00003
Moraxella lincolnii	90241	S	10	0	10	0.00002
Moraxella nasicaprae	2904122	S	10	0	10	0.00002
Psychrobacter sp. KFRI-CH2-11	3156079	S	73	0	73	0.00016
Psychrobacter sp. WB2	3043330	S	28	21	49	0.00011
Psychrobacter sp. DAB_AL43B	1028416	S	28	7	35	0.00008
Psychrobacter sp. P11F6	1699621	S	21	7	28	0.00006
Psychrobacter sp. WY6	2708350	S	15	0	15	0.00003
Psychrobacter sp. P11G3	1699623	S	14	20	34	0.00008
Psychrobacter sp. LV10R520-6	1415574	S	13	1	14	0.00003
Psychrobacter sp. 28M-43	2772254	S	12	17	29	0.00007
Psychrobacter sp. M13	3067275	S	11	1	12	0.00003
Psychrobacter sp. van23A	3064892	S	10	7	17	0.00004
Psychrobacter sanguinis	861445	S	22	4	26	0.00006
Vibrio plantisponsor	664643	S	3564	70	3634	0.00818
Vibrio navarrensis	29495	S	1993	77	2070	0.00466
Vibrio mimicus	674	S	1762	57	1819	0.00409
Vibrio natriegens	691	S	594	166	760	0.00171
Vibrio parahaemolyticus	670	S	558	61	619	0.00139
Vibrio alginolyticus	663	S	162	59	221	0.00050
Vibrio campbellii	680	S	80	11	91	0.00020
Vibrio harveyi	669	S	59	10	69	0.00016
Vibrio diabolicus	50719	S	43	17	60	0.00013
Vibrio rotiferianus	190895	S	28	3	31	0.00007
Vibrio owensii	696485	S	15	2	17	0.00004
Vibrio azureus	512649	S	11	0	11	0.00002
Vibrio cholerae	666	S	1123	3010	4133	0.00930
Vibrio cidicii	1763883	S	956	49	1005	0.00226
Vibrio diazotrophicus	685	S	789	0	789	0.00178
Vibrio fluvialis	676	S	547	49	596	0.00134
Vibrio sp. B1FLJ16	2751178	S	56	1	57	0.00013
Vibrio sp. dhg	2163016	S	43	12	55	0.00012
Vibrio sp. 16	391586	S	23	0	23	0.00005
Vibrio sp. EJY3	1116375	S	23	6	29	0.00007
Vibrio sp. ED004	2785124	S	17	2	19	0.00004
Vibrio sp. NTOU-M3	3234954	S	17	0	17	0.00004
Vibrio sp. JC009	2912314	S	17	0	17	0.00004
Vibrio sp. HB236076	3232307	S	16	0	16	0.00004
Vibrio sp. B1REV9	2751179	S	15	1	16	0.00004
Vibrio sp. gvc	2993714	S	15	8	23	0.00005
Vibrio sp. YMD68	3042300	S	14	0	14	0.00003
Vibrio sp. SCSIO 43136	2819101	S	13	0	13	0.00003
Vibrio sp. SCSIO 43135	2819096	S	11	0	11	0.00002
Vibrio sp. LQ2	2883075	S	11	4	15	0.00003
Vibrio sp. CB1-14	3016528	S	11	0	11	0.00002
Vibrio sp. SCSIO 43137	3021011	S	10	0	10	0.00002
Vibrio sp. B1ASS3	2751176	S	10	1	11	0.00002
Vibrio vulnificus	672	S	277	9	286	0.00064
Vibrio metschnikovii	28172	S	220	4	224	0.00050
Vibrio furnissii	29494	S	154	6	160	0.00036
Vibrio metoecus	1481663	S	151	6	157	0.00035
Vibrio ziniensis	2711221	S	117	2	119	0.00027
uncultured Vibrio sp.	114054	S	110	5	115	0.00026
Vibrio japonicus	1824638	S	80	1	81	0.00018
Vibrio tubiashii	29498	S	38	13	51	0.00011
Vibrio sinaloensis	379097	S	17	0	17	0.00004
Vibrio anguillarum	55601	S	48	3	51	0.00011
Vibrio zhugei	2479546	S	44	0	44	0.00010
Vibrio aestuarianus	28171	S	42	1	43	0.00010
Vibrio taketomensis	2572923	S	36	0	36	0.00008
Vibrio tritonius	1435069	S	35	0	35	0.00008
Vibrio cincinnatiensis	675	S	32	0	32	0.00007
Vibrio coralliilyticus	190893	S	29	1	30	0.00007
Vibrio scophthalmi	45658	S	28	0	28	0.00006
Vibrio alfacsensis	1074311	S	28	1	29	0.00007
Vibrio cyclitrophicus	47951	S	26	1	27	0.00006
Vibrio gazogenes	687	S	25	0	25	0.00006
Vibrio nigripulchritudo	28173	S	22	0	22	0.00005
Vibrio aerogenes	92172	S	21	0	21	0.00005
Vibrio casei	673372	S	20	0	20	0.00004
Vibrio rumoiensis	76258	S	20	0	20	0.00004
Vibrio mangrovi	474394	S	20	0	20	0.00004
Vibrio penaeicida	104609	S	18	0	18	0.00004
Vibrio pelagius	28169	S	18	0	18	0.00004
Vibrio paracholerae	650003	S	18	4	22	0.00005
Vibrio gangliei	2077090	S	16	0	16	0.00004
Vibrio ruber	184755	S	15	0	15	0.00003
Vibrio gigantis	296199	S	15	0	15	0.00003
Vibrio quintilis	1117707	S	14	0	14	0.00003
Vibrio rarus	413403	S	14	0	14	0.00003
Vibrio spartinae	1918945	S	12	0	12	0.00003
Vibrio cortegadensis	1328770	S	12	0	12	0.00003
Vibrio porteresiae	435912	S	12	0	12	0.00003
Vibrio algicola	2662262	S	11	0	11	0.00002
Vibrio splendidus	29497	S	11	0	11	0.00002
Vibrio palustris	1918946	S	10	0	10	0.00002
Vibrio crassostreae	246167	S	10	0	10	0.00002
Photobacterium damselae	38293	S	47	8	55	0.00012
Photobacterium sp. TY1-4	2899122	S	13	2	15	0.00003
Photobacterium sp. CCB-ST2H9	2912855	S	11	0	11	0.00002
Photobacterium leiognathi	553611	S	26	3	29	0.00007
Photobacterium atrarenae	865757	S	12	2	14	0.00003
Grimontia hollisae	673	S	12	1	13	0.00003
Aliivibrio fischeri	668	S	10	0	10	0.00002
Pseudomonas alcaligenes	43263	S	1956	241	2197	0.00494
Pseudomonas aeruginosa	287	S	794	1309	2103	0.00473
Pseudomonas oleovorans	301	S	191	115	306	0.00069
Pseudomonas furukawaii	1149133	S	28	2	30	0.00007
Pseudomonas mendocina	300	S	58	7	65	0.00015
Pseudomonas resinovorans	53412	S	42	3	45	0.00010
Pseudomonas citronellolis	53408	S	39	12	51	0.00011
Pseudomonas nitroreducens	46680	S	23	9	32	0.00007
Pseudomonas multiresinivorans	95301	S	14	2	16	0.00004
Pseudomonas anguilliseptica	53406	S	24	0	24	0.00005
Pseudomonas sp. AN-1	3096605	S	67	11	78	0.00018
Pseudomonas sp. SO81	2983246	S	53	9	62	0.00014
Pseudomonas sp. J452	2898441	S	45	9	54	0.00012
Pseudomonas sp. C27(2019)	2604941	S	41	0	41	0.00009
Pseudomonas sp. phDV1	253237	S	36	49	85	0.00019
Pseudomonas sp. LS44	1357074	S	34	4	38	0.00009
Pseudomonas sp. StFLB209	1028989	S	33	4	37	0.00008
Pseudomonas sp. SG20056	3074146	S	31	10	41	0.00009
Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001	3077589	S	30	5	35	0.00008
Pseudomonas sp. PDNC002	2811422	S	29	14	43	0.00010
Pseudomonas sp. SL4(2022)	2994661	S	29	9	38	0.00009
Pseudomonas sp. RC10	3139142	S	28	0	28	0.00006
Pseudomonas sp. HLS-6	2049589	S	28	4	32	0.00007
Pseudomonas sp. HR96	1027966	S	28	3	31	0.00007
Pseudomonas sp. MM211	2866808	S	28	2	30	0.00007
Pseudomonas sp. QE6	3242491	S	27	0	27	0.00006
Pseudomonas sp. B11D7D	2735906	S	27	5	32	0.00007
Pseudomonas sp. MTM4	2705472	S	26	2	28	0.00006
Pseudomonas sp. Q1-7	3020843	S	25	5	30	0.00007
Pseudomonas sp. SCB32	2653853	S	24	16	40	0.00009
Pseudomonas sp. Ost2	2678260	S	23	4	27	0.00006
Pseudomonas sp. GCEP-101	2974552	S	23	12	35	0.00008
Pseudomonas sp. M30-35	1981174	S	22	1	23	0.00005
Pseudomonas sp. G.S.17	3137451	S	22	0	22	0.00005
Pseudomonas sp. KNUC1026	2893890	S	22	2	24	0.00005
Pseudomonas sp. ATCC 13867	1294143	S	21	16	37	0.00008
Pseudomonas sp. MH9.2	3048629	S	21	3	24	0.00005
Pseudomonas sp. gcc21	2726989	S	21	6	27	0.00006
Pseudomonas sp. 273	75692	S	21	6	27	0.00006
Pseudomonas sp. F3-2	3141539	S	20	0	20	0.00004
Pseudomonas sp. ABC1	2748080	S	20	1	21	0.00005
Pseudomonas sp. CC6-YY-74	1930532	S	20	2	22	0.00005
Pseudomonas sp. OIL-1	2706126	S	19	4	23	0.00005
Pseudomonas sp. TCU-HL1	1856685	S	18	4	22	0.00005
Pseudomonas sp. PSKL.D1	3029060	S	17	3	20	0.00004
Pseudomonas sp. ADAK18	2730848	S	17	4	21	0.00005
Pseudomonas sp. LPB0260	2614442	S	17	3	20	0.00004
Pseudomonas sp. MPC6	2498848	S	16	5	21	0.00005
Pseudomonas sp. 10S4	3048583	S	16	8	24	0.00005
Pseudomonas sp. FP198	2954084	S	15	4	19	0.00004
Pseudomonas sp. TUM22785	3019098	S	15	4	19	0.00004
Pseudomonas sp. L5B5	2883205	S	15	3	18	0.00004
Pseudomonas sp. S09G 359	2054919	S	15	7	22	0.00005
Pseudomonas sp. BT-42-2	2986927	S	15	3	18	0.00004
Pseudomonas sp. p1(2021b)	2874628	S	15	6	21	0.00005
Pseudomonas sp. CCC3.1	3048607	S	14	2	16	0.00004
Pseudomonas sp. DG56-2	2320270	S	14	1	15	0.00003
Pseudomonas sp. KU43P	2487887	S	14	3	17	0.00004
Pseudomonas sp. REST10	2512235	S	13	54	67	0.00015
Pseudomonas sp. 7SR1	1881017	S	13	3	16	0.00004
Pseudomonas sp. LS1212	2972478	S	13	2	15	0.00003
Pseudomonas sp. N3-W	2975049	S	13	4	17	0.00004
Pseudomonas sp. LPH1	1898684	S	13	7	20	0.00004
Pseudomonas sp. MM227	3019968	S	13	1	14	0.00003
Pseudomonas sp. Leaf58	1736226	S	13	2	15	0.00003
Pseudomonas sp. ACM7	2052956	S	13	18	31	0.00007
Pseudomonas sp. B21-028	2895480	S	13	6	19	0.00004
Pseudomonas sp. FP2335	2954092	S	13	6	19	0.00004
Pseudomonas sp. JQ170C	3110111	S	13	0	13	0.00003
Pseudomonas sp. KU26590	2991051	S	13	3	16	0.00004
Pseudomonas sp. C9-3	3078264	S	12	8	20	0.00004
Pseudomonas sp. DC1.2	3048622	S	12	3	15	0.00003
Pseudomonas sp. DTU12.3	2073078	S	12	7	19	0.00004
Pseudomonas sp. WJP1	2986947	S	11	3	14	0.00003
Pseudomonas sp. HS6	2850559	S	11	6	17	0.00004
Pseudomonas sp. BW7P1	2973088	S	11	5	16	0.00004
Pseudomonas sp. LRP2-20	2944234	S	11	2	13	0.00003
Pseudomonas sp. TMP25	3136561	S	11	0	11	0.00002
Pseudomonas sp. P8_241	3043445	S	11	3	14	0.00003
Pseudomonas sp. KHPS1	2961531	S	10	6	16	0.00004
Pseudomonas sp. RtIB026	2749999	S	10	11	21	0.00005
Pseudomonas sp. NIBR-H-19	2901380	S	10	5	15	0.00003
Pseudomonas sp. URMO17WK12:I11	1283291	S	10	7	17	0.00004
Pseudomonas sp. GOM7	2998079	S	10	111	121	0.00027
Pseudomonas sp. FP2196	2954086	S	10	5	15	0.00003
Pseudomonas fluorescens	294	S	148	19	167	0.00038
Pseudomonas orientalis	76758	S	34	3	37	0.00008
Pseudomonas synxantha	47883	S	30	10	40	0.00009
Pseudomonas veronii	76761	S	28	15	43	0.00010
Pseudomonas trivialis	200450	S	26	4	30	0.00007
Pseudomonas rhodesiae	76760	S	24	2	26	0.00006
Pseudomonas poae	200451	S	23	3	26	0.00006
Pseudomonas koreensis	198620	S	16	3	19	0.00004
Pseudomonas azotoformans	47878	S	15	5	20	0.00004
Pseudomonas cedrina	651740	S	14	1	15	0.00003
Pseudomonas tolaasii	29442	S	12	2	14	0.00003
Pseudomonas corrugata	47879	S	11	2	13	0.00003
Pseudomonas marginalis	298	S	10	3	13	0.00003
Pseudomonas brenneri	129817	S	10	1	11	0.00002
Pseudomonas putida	303	S	237	74	311	0.00070
Pseudomonas oryzihabitans	47885	S	67	7	74	0.00017
Pseudomonas fulva	47880	S	41	13	54	0.00012
Pseudomonas mosselii	78327	S	28	5	33	0.00007
Pseudomonas plecoglossicida	70775	S	11	2	13	0.00003
Pseudomonas wadenswilerensis	1785161	S	10	0	10	0.00002
Pseudomonas syringae	317	S	69	62	131	0.00029
Pseudomonas viridiflava	33069	S	53	4	57	0.00013
Pseudomonas amygdali	47877	S	10	30	40	0.00009
Pseudomonas syringae group genomosp. 7	251699	S	13	2	15	0.00003
Pseudomonas lijiangensis	2995658	S	11	3	14	0.00003
Pseudomonas chlororaphis	587753	S	96	42	138	0.00031
Pseudomonas protegens	380021	S	38	3670	3708	0.00834
Pseudomonas fragi	296	S	24	2	26	0.00006
Pseudomonas lundensis	86185	S	15	0	15	0.00003
Pseudomonas otitidis	319939	S	62	4	66	0.00015
Pseudomonas sediminis	1691904	S	62	6	68	0.00015
Pseudomonas benzenivorans	556533	S	61	4	65	0.00015
Pseudomonas guangdongensis	1245526	S	61	6	67	0.00015
Pseudomonas pohangensis	364197	S	53	1	54	0.00012
Pseudomonas entomophila	312306	S	43	3	46	0.00010
Pseudomonas tohonis	2725477	S	35	7	42	0.00009
Pseudomonas wenzhouensis	2906062	S	34	4	38	0.00009
uncultured Pseudomonas sp.	114707	S	33	1	34	0.00008
Pseudomonas oryzae	1392877	S	32	3	35	0.00008
Pseudomonas lalkuanensis	2604832	S	30	2	32	0.00007
Pseudomonas seleniipraecipitans	640205	S	28	1	29	0.00007
Pseudomonas abieticivorans	2931382	S	27	3	30	0.00007
Pseudomonas triclosanedens	2961893	S	27	10	37	0.00008
Pseudomonas campi	2731681	S	27	2	29	0.00007
Pseudomonas frederiksbergensis	104087	S	26	2	28	0.00006
Pseudomonas guguanensis	1198456	S	25	3	28	0.00006
Pseudomonas cremoricolorata	157783	S	25	1	26	0.00006
Pseudomonas saudiphocaensis	1499686	S	24	1	25	0.00006
Pseudomonas coleopterorum	1605838	S	24	1	25	0.00006
Pseudomonas hydrolytica	2493633	S	24	6	30	0.00007
Pseudomonas cavernae	2320867	S	24	1	25	0.00006
Pseudomonas extremaustralis	359110	S	23	1	24	0.00005
Pseudomonas abietaniphila	89065	S	21	0	21	0.00005
Pseudomonas alkylphenolica	237609	S	20	1	21	0.00005
Pseudomonas argentinensis	289370	S	20	1	21	0.00005
Pseudomonas chengduensis	489632	S	19	8	27	0.00006
Pseudomonas xanthosomatis	2842356	S	18	1	19	0.00004
Pseudomonas baltica	2762576	S	18	0	18	0.00004
Pseudomonas berkeleyensis	2726956	S	18	1	19	0.00004
Pseudomonas marincola	437900	S	17	0	17	0.00004
Pseudomonas vanderleydeniana	2745495	S	16	0	16	0.00004
Pseudomonas solani	2731552	S	16	3	19	0.00004
Pseudomonas promysalinigenes	485898	S	16	0	16	0.00004
Pseudomonas izuensis	2684212	S	16	10	26	0.00006
Pseudomonas qingdaonensis	2056231	S	15	7	22	0.00005
Pseudomonas asiatica	2219225	S	15	14	29	0.00007
Pseudomonas knackmussii	65741	S	15	2	17	0.00004
Pseudomonas silesiensis	1853130	S	14	0	14	0.00003
Pseudomonas eucalypticola	2599595	S	14	0	14	0.00003
Pseudomonas atacamensis	2565368	S	14	3	17	0.00004
Pseudomonas lurida	244566	S	13	0	13	0.00003
Pseudomonas brassicacearum	930166	S	13	5	18	0.00004
Pseudomonas prosekii	1148509	S	13	0	13	0.00003
Pseudomonas alvandae	2842348	S	13	3	16	0.00004
Pseudomonas yamanorum	515393	S	13	1	14	0.00003
Pseudomonas agarici	46677	S	13	0	13	0.00003
Pseudomonas rhizosphaerae	216142	S	13	0	13	0.00003
Pseudomonas alcaliphila	101564	S	12	3	15	0.00003
Pseudomonas batumici	226910	S	12	0	12	0.00003
Pseudomonas muyukensis	2842357	S	12	12	24	0.00005
Pseudomonas laurentiana	2364649	S	12	0	12	0.00003
Pseudomonas juntendi	2666183	S	12	6	18	0.00004
Pseudomonas purpurea	3136737	S	12	0	12	0.00003
Pseudomonas tructae	2518644	S	12	0	12	0.00003
Pseudomonas toyotomiensis	554344	S	12	2	14	0.00003
Pseudomonas umsongensis	198618	S	11	0	11	0.00002
Pseudomonas antarctica	219572	S	11	1	12	0.00003
Pseudomonas vancouverensis	95300	S	11	0	11	0.00002
Pseudomonas reinekei	395598	S	11	0	11	0.00002
Pseudomonas thivervalensis	86265	S	11	0	11	0.00002
Pseudomonas simiae	321846	S	11	2	13	0.00003
Pseudomonas paeninsulae	3110772	S	11	0	11	0.00002
Pseudomonas phenolilytica	2746321	S	11	2	13	0.00003
Pseudomonas saxonica	2600598	S	11	0	11	0.00002
Pseudomonas taetrolens	47884	S	11	0	11	0.00002
Pseudomonas arsenicoxydans	702115	S	11	0	11	0.00002
Pseudomonas canadensis	915099	S	10	1	11	0.00002
Pseudomonas parafulva	157782	S	10	0	10	0.00002
Pseudomonas phytophila	2867264	S	10	0	10	0.00002
Pseudomonas versuta	1788301	S	10	0	10	0.00002
Pseudomonas asgharzadehiana	2842349	S	10	0	10	0.00002
Stutzerimonas stutzeri	316	S	175	64	239	0.00054
Stutzerimonas balearica	74829	S	68	14	82	0.00018
Stutzerimonas frequens	2968969	S	23	14	37	0.00008
Halopseudomonas aestusnigri	857252	S	30	25	55	0.00012
Halopseudomonas sabulinigri	472181	S	21	0	21	0.00005
Halopseudomonas xinjiangensis	487184	S	15	0	15	0.00003
Halopseudomonas pelagia	553151	S	15	0	15	0.00003
Halopseudomonas maritima	2918528	S	15	0	15	0.00003
Halopseudomonas litoralis	797277	S	14	0	14	0.00003
Halopseudomonas oceani	1708783	S	13	0	13	0.00003
Halopseudomonas phragmitis	1931241	S	13	0	13	0.00003
Halopseudomonas nanhaiensis	2830842	S	13	0	13	0.00003
Halopseudomonas sp. SMJS2	3041098	S	10	0	10	0.00002
Azotobacter chroococcum	353	S	23	16	39	0.00009
Azotobacter salinestris	69964	S	18	14	32	0.00007
Permianibacter aggregans	1510150	S	19	0	19	0.00004
Denitrificimonas caeni	521720	S	18	0	18	0.00004
Marinobacter sp. CA1	2817656	S	15	11	26	0.00006
Marinobacter salarius	1420917	S	16	11	27	0.00006
Marinobacter nauticus	2743	S	14	28	42	0.00009
Marinobacter fonticola	2603215	S	14	1	15	0.00003
Marinobacter nanhaiticus	1305740	S	13	0	13	0.00003
Marinobacter salinisoli	2769486	S	12	11	23	0.00005
Pseudohongiella spirulinae	1249552	S	10	0	10	0.00002
Klebsiella pneumoniae	573	S	668	4345	5013	0.01128
Klebsiella quasipneumoniae	1463165	S	308	259	567	0.00128
Klebsiella michiganensis	1134687	S	124	55	179	0.00040
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	38	107	145	0.00033
Klebsiella electrica	1259973	S	114	9	123	0.00028
Klebsiella variicola	244366	S	87	83	170	0.00038
Klebsiella oxytoca	571	S	83	6	89	0.00020
Klebsiella aerogenes	548	S	42	3	45	0.00010
Klebsiella grimontii	2058152	S	23	21	44	0.00010
Klebsiella huaxiensis	2153354	S	20	1	21	0.00005
Klebsiella quasivariicola	2026240	S	16	2	18	0.00004
Raoultella ornithinolytica	54291	S	59	98	157	0.00035
Raoultella planticola	575	S	43	6	49	0.00011
Raoultella terrigena	577	S	15	1	16	0.00004
Escherichia coli	562	S	1541	20084	21625	0.04865
Escherichia albertii	208962	S	31	2	33	0.00007
Escherichia fergusonii	564	S	26	4	30	0.00007
Enterobacter roggenkampii	1812935	S	152	64	216	0.00049
Enterobacter cloacae	550	S	149	165	314	0.00071
Enterobacter asburiae	61645	S	92	87	179	0.00040
Enterobacter hormaechei	158836	S	86	429	515	0.00116
Enterobacter kobei	208224	S	69	76	145	0.00033
Enterobacter cancerogenus	69218	S	15	1	16	0.00004
Enterobacter ludwigii	299767	S	15	16	31	0.00007
Enterobacter sichuanensis	2071710	S	12	2	14	0.00003
Enterobacter chengduensis	2494701	S	12	4	16	0.00004
Enterobacter mori	539813	S	268	51	319	0.00072
Enterobacter sp. RHBSTW-00994	2742676	S	26	4	30	0.00007
Enterobacter sp. JUb54	2724468	S	12	1	13	0.00003
Enterobacter sp. CP102	2976431	S	10	8	18	0.00004
Enterobacter soli	885040	S	15	2	17	0.00004
Enterobacter bugandensis	881260	S	14	7	21	0.00005
Citrobacter freundii	546	S	113	122	235	0.00053
Citrobacter portucalensis	1639133	S	64	34	98	0.00022
Citrobacter braakii	57706	S	22	45	67	0.00015
Citrobacter koseri	545	S	18	9	27	0.00006
Citrobacter amalonaticus	35703	S	13	6	19	0.00004
Citrobacter tructae	2562449	S	11	0	11	0.00002
Kluyvera cryocrescens	580	S	62	5	67	0.00015
Kluyvera ascorbata	51288	S	37	14	51	0.00011
Kluyvera sichuanensis	2725494	S	33	0	33	0.00007
Kluyvera intermedia	61648	S	13	0	13	0.00003
Salmonella enterica	28901	S	85	1719	1804	0.00406
Leclercia adecarboxylata	83655	S	41	27	68	0.00015
Leclercia pneumoniae	2815358	S	13	1	14	0.00003
Kosakonia sacchari	1158459	S	15	9	24	0.00005
Kosakonia cowanii	208223	S	10	11	21	0.00005
Cronobacter sakazakii	28141	S	21	18	39	0.00009
Cedecea neteri	158822	S	35	2	37	0.00008
Cedecea sp. FDAARGOS_727	2545798	S	10	0	10	0.00002
Phytobacter ursingii	1972431	S	27	0	27	0.00006
Shigella flexneri	623	S	16	134	150	0.00034
Shigella dysenteriae	622	S	12	133	145	0.00033
Pluralibacter gergoviae	61647	S	18	1	19	0.00004
[Enterobacter] lignolyticus	1334193	S	17	1	18	0.00004
Lelliottia amnigena	61646	S	14	1	15	0.00003
Plesiomonas shigelloides	703	S	27	0	27	0.00006
Mangrovibacter phragmitis	1691903	S	25	0	25	0.00006
Atlantibacter hermannii	565	S	15	0	15	0.00003
Siccibacter colletis	1505757	S	12	0	12	0.00003
Pseudocitrobacter corydidari	2891570	S	10	0	10	0.00002
Franconibacter daqui	2047724	S	10	0	10	0.00002
Serratia surfactantfaciens	2741499	S	240	81	321	0.00072
Serratia marcescens	615	S	110	160	270	0.00061
Serratia fonticola	47917	S	18	6	24	0.00005
Serratia liquefaciens	614	S	17	11	28	0.00006
Serratia entomophila	42906	S	16	3	19	0.00004
Serratia plymuthica	82996	S	16	4	20	0.00004
Serratia proteamaculans	28151	S	11	1	12	0.00003
