name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter sp. KCTC 92772	3045147	S	2756	102	2858	0.00643
Acinetobacter sp. WCHA45	2004644	S	1013	266	1279	0.00288
Acinetobacter sp. XH1639	3157368	S	945	0	945	0.00213
Acinetobacter sp. NEB 394	2743575	S	248	86	334	0.00075
Acinetobacter sp. WCHAc010034	1879049	S	225	10	235	0.00053
Acinetobacter sp. SCLZS86	2908637	S	133	24	157	0.00035
Acinetobacter sp. ACNIH2	1758189	S	132	75	207	0.00047
Acinetobacter sp. PK01	2930198	S	113	63	176	0.00040
Acinetobacter sp. CS-2	2798861	S	105	6	111	0.00025
Acinetobacter sp. TR3	3003392	S	103	99	202	0.00045
Acinetobacter sp. TR11	3003393	S	91	85	176	0.00040
Acinetobacter sp. WCHA55	2004646	S	69	8	77	0.00017
Acinetobacter sp. Z1	2953738	S	64	2	66	0.00015
Acinetobacter sp. A1-4-2	3156489	S	49	0	49	0.00011
Acinetobacter sp. TTH0-4	1646498	S	46	1	47	0.00011
Acinetobacter sp. C32I	2950074	S	44	2	46	0.00010
Acinetobacter sp. Marseille-Q1620	2714110	S	41	0	41	0.00009
Acinetobacter sp. GSS19	3020716	S	38	1	39	0.00009
Acinetobacter sp. TGL-Y2	1407071	S	36	0	36	0.00008
Acinetobacter sp. SWBY1	2079596	S	34	12	46	0.00010
Acinetobacter sp. 10FS3-1	2563897	S	25	1	26	0.00006
Acinetobacter sp. ESL0695	2983215	S	25	0	25	0.00006
Acinetobacter sp. KS-LM10	3120518	S	24	0	24	0.00005
Acinetobacter sp. NCu2D-2	1608473	S	23	0	23	0.00005
Acinetobacter sp. LoGeW2-3	1808001	S	22	0	22	0.00005
Acinetobacter sp. YH16040_T	2929512	S	15	14	29	0.00007
Acinetobacter sp. YH12138	2601122	S	15	13	28	0.00006
Acinetobacter sp. 16	3081771	S	15	19	34	0.00008
Acinetobacter sp. NyZ410	2929509	S	13	4	17	0.00004
Acinetobacter sp. ACNIH1	1636603	S	13	8	21	0.00005
