name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter nosocomialis	106654	S	47	10	57	0.00014
Acinetobacter seifertii	1530123	S	36	1	37	0.00009
Acinetobacter calcoaceticus	471	S	19	0	19	0.00005
Acinetobacter towneri	202956	S	254	49	303	0.00073
Acinetobacter junii	40215	S	150	27	177	0.00043
Acinetobacter ursingii	108980	S	114	16	130	0.00031
Acinetobacter lwoffii	28090	S	106	15	121	0.00029
Acinetobacter indicus	756892	S	97	4	101	0.00024
Acinetobacter haemolyticus	29430	S	88	3	91	0.00022
Acinetobacter wuhouensis	1879050	S	79	2	81	0.00020
Acinetobacter cumulans	2136182	S	71	1	72	0.00017
Acinetobacter bouvetii	202951	S	54	0	54	0.00013
Acinetobacter schindleri	108981	S	46	2	48	0.00012
Acinetobacter venetianus	52133	S	43	1	44	0.00011
Acinetobacter bereziniae	106648	S	34	3	37	0.00009
Acinetobacter tibetensis	2943497	S	30	0	30	0.00007
Acinetobacter variabilis	70346	S	28	3	31	0.00007
Acinetobacter chinensis	2004650	S	24	1	25	0.00006
Acinetobacter soli	487316	S	23	2	25	0.00006
Acinetobacter proteolyticus	1776741	S	23	1	24	0.00006
Acinetobacter pseudolwoffii	2053287	S	19	3	22	0.00005
Acinetobacter defluvii	1871111	S	19	0	19	0.00005
Acinetobacter piscicola	2006115	S	18	0	18	0.00004
Acinetobacter radioresistens	40216	S	16	0	16	0.00004
Acinetobacter lanii	2715163	S	15	0	15	0.00004
Acinetobacter gerneri	202952	S	14	12	26	0.00006
Acinetobacter colistiniresistens	280145	S	14	0	14	0.00003
Acinetobacter larvae	1789224	S	12	0	12	0.00003
Acinetobacter baylyi	202950	S	11	0	11	0.00003
Acinetobacter wanghuae	2662362	S	10	0	10	0.00002
Moraxella osloensis	34062	S	3593	316	3909	0.00942
Moraxella sp. K02	3149046	S	86	0	86	0.00021
Moraxella sp. K23	3149047	S	33	0	33	0.00008
Moraxella sp. DOX410	3076087	S	28	15	43	0.00010
Moraxella sp. FZFQ2102	2953752	S	27	30	57	0.00014
Moraxella canis	90239	S	18	0	18	0.00004
Moraxella cuniculi	34061	S	11	0	11	0.00003
Psychrobacter sp. WB2	3043330	S	13	41	54	0.00013
Psychrobacter sanguinis	861445	S	11	12	23	0.00006
Klebsiella pneumoniae	573	S	908	4687	5595	0.01349
Klebsiella quasipneumoniae	1463165	S	467	283	750	0.00181
Klebsiella electrica	1259973	S	279	17	296	0.00071
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	54	218	272	0.00066
Klebsiella michiganensis	1134687	S	174	70	244	0.00059
Klebsiella oxytoca	571	S	158	9	167	0.00040
Klebsiella variicola	244366	S	131	84	215	0.00052
Klebsiella aerogenes	548	S	50	3	53	0.00013
Klebsiella huaxiensis	2153354	S	41	1	42	0.00010
Klebsiella quasivariicola	2026240	S	28	3	31	0.00007
Klebsiella grimontii	2058152	S	21	15	36	0.00009
Klebsiella africana	2489010	S	19	1	20	0.00005
Klebsiella pasteurii	2587529	S	18	12	30	0.00007
Raoultella ornithinolytica	54291	S	187	291	478	0.00115
Raoultella planticola	575	S	98	12	110	0.00027
Raoultella sp. HC6	2923366	S	11	1	12	0.00003
Raoultella terrigena	577	S	15	1	16	0.00004
Enterobacter cloacae	550	S	276	158	434	0.00105
Enterobacter asburiae	61645	S	237	252	489	0.00118
Enterobacter roggenkampii	1812935	S	215	67	282	0.00068
Enterobacter kobei	208224	S	112	91	203	0.00049
Enterobacter hormaechei	158836	S	102	380	482	0.00116
Enterobacter ludwigii	299767	S	19	15	34	0.00008
Enterobacter chengduensis	2494701	S	13	3	16	0.00004
Enterobacter sichuanensis	2071710	S	12	1	13	0.00003
Enterobacter cancerogenus	69218	S	11	1	12	0.00003
Enterobacter mori	539813	S	701	101	802	0.00193
Enterobacter sp. RHBSTW-00994	2742676	S	68	17	85	0.00020
Enterobacter soli	885040	S	49	5	54	0.00013
Enterobacter bugandensis	881260	S	19	7	26	0.00006
Escherichia coli	562	S	1590	13796	15386	0.03709
Escherichia albertii	208962	S	25	1	26	0.00006
Escherichia fergusonii	564	S	10	11	21	0.00005
Citrobacter freundii	546	S	118	109	227	0.00055
Citrobacter portucalensis	1639133	S	43	20	63	0.00015
Citrobacter braakii	57706	S	13	25	38	0.00009
Citrobacter amalonaticus	35703	S	12	8	20	0.00005
Citrobacter farmeri	67824	S	12	0	12	0.00003
Kluyvera cryocrescens	580	S	148	11	159	0.00038
Kluyvera sichuanensis	2725494	S	84	0	84	0.00020
Kluyvera ascorbata	51288	S	36	19	55	0.00013
Kluyvera intermedia	61648	S	16	0	16	0.00004
Salmonella enterica	28901	S	92	1532	1624	0.00392
Kosakonia oryzendophytica	1005665	S	21	3	24	0.00006
Kosakonia radicincitans	283686	S	10	7	17	0.00004
Leclercia adecarboxylata	83655	S	22	19	41	0.00010
Phytobacter ursingii	1972431	S	29	0	29	0.00007
Cedecea neteri	158822	S	18	2	20	0.00005
Shigella flexneri	623	S	11	210	221	0.00053
Mangrovibacter phragmitis	1691903	S	19	0	19	0.00005
Lelliottia amnigena	61646	S	14	0	14	0.00003
Siccibacter colletis	1505757	S	13	0	13	0.00003
Plesiomonas shigelloides	703	S	10	0	10	0.00002
Serratia surfactantfaciens	2741499	S	259	66	325	0.00078
Serratia marcescens	615	S	106	129	235	0.00057
Serratia liquefaciens	614	S	18	8	26	0.00006
Serratia plymuthica	82996	S	12	2	14	0.00003
Serratia rubidaea	61652	S	10	2	12	0.00003
Yersinia ruckeri	29486	S	12	21	33	0.00008
Pantoea agglomerans	549	S	19	26	45	0.00011
Pantoea dispersa	59814	S	18	8	26	0.00006
Pantoea ananatis	553	S	10	3	13	0.00003
Buchnera aphidicola	9	S	104	1	105	0.00025
Candidatus Erwinia haradaeae	1922217	S	19	4	23	0.00006
Providencia rettgeri	587	S	12	32	44	0.00011
Providencia alcalifaciens	126385	S	11	0	11	0.00003
Proteus mirabilis	584	S	21	3	24	0.00006
Proteus vulgaris	585	S	14	37	51	0.00012
Morganella morganii	582	S	36	3	39	0.00009
Dickeya zeae	204042	S	10	32	42	0.00010
Edwardsiella tarda	636	S	13	8	21	0.00005
Hafnia alvei	569	S	14	7	21	0.00005
Aeromonas caviae	648	S	2123	1613	3736	0.00901
Aeromonas sp. FDAARGOS 1415	2778064	S	330	32	362	0.00087
Aeromonas sp. XH	3081770	S	81	44	125	0.00030
Aeromonas sp. FDAARGOS 1409	2778058	S	81	44	125	0.00030
Aeromonas sp. ASNIH4	1636609	S	33	17	50	0.00012
Aeromonas sp. WP2-W18-CRE-05	2675707	S	33	113	146	0.00035
Aeromonas sp. ASNIH2	1636607	S	28	31	59	0.00014
Aeromonas sp. FDAARGOS 1406	2778055	S	23	29	52	0.00013
Aeromonas sp. FDAARGOS 1402	2778051	S	20	29	49	0.00012
Aeromonas sp. ASNIH1	1636606	S	17	52	69	0.00017
Aeromonas sp. CU5	2033033	S	17	1	18	0.00004
Aeromonas sp. ASNIH3	1636608	S	14	53	67	0.00016
Aeromonas sp. CA23	2033032	S	11	1	12	0.00003
Aeromonas sp. ASNIH5	1758179	S	11	30	41	0.00010
Aeromonas veronii	654	S	644	166	810	0.00195
Aeromonas hydrophila	644	S	422	238	660	0.00159
Aeromonas media	651	S	287	43	330	0.00080
Aeromonas allosaccharophila	656	S	146	30	176	0.00042
Aeromonas salmonicida	645	S	125	43	168	0.00041
Aeromonas dhakensis	196024	S	116	37	153	0.00037
Aeromonas jandaei	650	S	56	7	63	0.00015
Aeromonas encheleia	73010	S	38	2	40	0.00010
Aeromonas rivipollensis	948519	S	31	5	36	0.00009
Aeromonas enteropelogenes	29489	S	31	3	34	0.00008
Aeromonas schubertii	652	S	30	1	31	0.00007
Aeromonas simiae	218936	S	22	1	23	0.00006
Aeromonas rivuli	648794	S	21	0	21	0.00005
Aeromonas popoffii	70856	S	14	0	14	0.00003
Aeromonas bestiarum	105751	S	10	1	11	0.00003
uncultured Tolumonas sp.	263765	S	1394	31	1425	0.00344
Tolumonas auensis	43948	S	103	5	108	0.00026
Succinivibrio dextrinosolvens	83771	S	28	0	28	0.00007
Pseudomonas sp. MM211	2866808	S	20	1	21	0.00005
Pseudomonas sp. HLS-6	2049589	S	19	2	21	0.00005
Pseudomonas sp. HR96	1027966	S	19	1	20	0.00005
Pseudomonas sp. SO81	2983246	S	19	2	21	0.00005
Pseudomonas sp. phDV1	253237	S	18	20	38	0.00009
Pseudomonas sp. C9-3	3078264	S	17	7	24	0.00006
Pseudomonas sp. ML2-2023-3	3122375	S	16	0	16	0.00004
Pseudomonas sp. MYb327	2745230	S	15	0	15	0.00004
Pseudomonas sp. AN-1	3096605	S	15	1	16	0.00004
Pseudomonas sp. ABC1	2748080	S	14	0	14	0.00003
Pseudomonas sp. J452	2898441	S	13	1	14	0.00003
Pseudomonas sp. RC10	3139142	S	13	0	13	0.00003
Pseudomonas sp. SL4(2022)	2994661	S	13	2	15	0.00004
Pseudomonas sp. C27(2019)	2604941	S	13	0	13	0.00003
Pseudomonas sp. GCEP-101	2974552	S	13	4	17	0.00004
Pseudomonas sp. B11D7D	2735906	S	12	1	13	0.00003
Pseudomonas sp. G.S.17	3137451	S	12	0	12	0.00003
Pseudomonas sp. KNUC1026	2893890	S	12	0	12	0.00003
Pseudomonas sp. FP453	2954094	S	11	3	14	0.00003
Pseudomonas sp. P8_241	3043445	S	11	2	13	0.00003
Pseudomonas sp. L5B5	2883205	S	11	2	13	0.00003
Pseudomonas sp. Lz4W	1206777	S	11	1	12	0.00003
Pseudomonas sp. SG20056	3074146	S	11	2	13	0.00003
Pseudomonas sp. LS1212	2972478	S	11	1	12	0.00003
Pseudomonas sp. KU43P	2487887	S	11	1	12	0.00003
Pseudomonas sp. FP2335	2954092	S	11	3	14	0.00003
Pseudomonas sp. BYT-5	2944392	S	11	307	318	0.00077
Pseudomonas sp. LS44	1357074	S	10	0	10	0.00002
Pseudomonas sp. PDNC002	2811422	S	10	3	13	0.00003
Pseudomonas sp. CIP-10	2892442	S	10	25	35	0.00008
Pseudomonas sp. NIBR-H-19	2901380	S	10	3	13	0.00003
Pseudomonas sp. Ost2	2678260	S	10	1	11	0.00003
Pseudomonas sp. TCU-HL1	1856685	S	10	1	11	0.00003
Pseudomonas sp. StFLB209	1028989	S	10	0	10	0.00002
Pseudomonas alcaligenes	43263	S	592	57	649	0.00156
Pseudomonas aeruginosa	287	S	391	1419	1810	0.00436
Pseudomonas oleovorans	301	S	41	25	66	0.00016
Pseudomonas mendocina	300	S	25	3	28	0.00007
Pseudomonas nitroreducens	46680	S	14	7	21	0.00005
Pseudomonas citronellolis	53408	S	18	5	23	0.00006
Pseudomonas resinovorans	53412	S	18	1	19	0.00005
Pseudomonas fluorescens	294	S	84	17	101	0.00024
Pseudomonas tolaasii	29442	S	16	5	21	0.00005
Pseudomonas rhodesiae	76760	S	15	1	16	0.00004
Pseudomonas synxantha	47883	S	14	7	21	0.00005
Pseudomonas poae	200451	S	14	3	17	0.00004
Pseudomonas orientalis	76758	S	13	1	14	0.00003
Pseudomonas azotoformans	47878	S	12	6	18	0.00004
Pseudomonas veronii	76761	S	10	7	17	0.00004
Pseudomonas putida	303	S	126	53	179	0.00043
Pseudomonas oryzihabitans	47885	S	28	3	31	0.00007
Pseudomonas fulva	47880	S	27	8	35	0.00008
Pseudomonas mosselii	78327	S	15	2	17	0.00004
Pseudomonas wadenswilerensis	1785161	S	10	1	11	0.00003
Pseudomonas syringae	317	S	39	46	85	0.00020
Pseudomonas viridiflava	33069	S	16	1	17	0.00004
Pseudomonas chlororaphis	587753	S	54	27	81	0.00020
Pseudomonas fragi	296	S	22	3	25	0.00006
Pseudomonas protegens	380021	S	22	6	28	0.00007
Pseudomonas lundensis	86185	S	15	0	15	0.00004
Pseudomonas extremaustralis	359110	S	50	4	54	0.00013
Pseudomonas wenzhouensis	2906062	S	35	5	40	0.00010
Pseudomonas otitidis	319939	S	29	1	30	0.00007
Pseudomonas oryzae	1392877	S	20	1	21	0.00005
Pseudomonas pohangensis	364197	S	16	0	16	0.00004
Pseudomonas guangdongensis	1245526	S	16	1	17	0.00004
Pseudomonas knackmussii	65741	S	16	1	17	0.00004
Pseudomonas entomophila	312306	S	16	1	17	0.00004
Pseudomonas guguanensis	1198456	S	15	2	17	0.00004
Pseudomonas lalkuanensis	2604832	S	14	0	14	0.00003
Pseudomonas tohonis	2725477	S	13	3	16	0.00004
Pseudomonas coleopterorum	1605838	S	13	0	13	0.00003
Pseudomonas triclosanedens	2961893	S	13	3	16	0.00004
Pseudomonas cavernae	2320867	S	12	0	12	0.00003
Pseudomonas xanthosomatis	2842356	S	12	1	13	0.00003
Pseudomonas simiae	321846	S	11	2	13	0.00003
Pseudomonas benzenivorans	556533	S	11	0	11	0.00003
Pseudomonas brassicacearum	930166	S	11	4	15	0.00004
Pseudomonas promysalinigenes	485898	S	10	0	10	0.00002
Pseudomonas versuta	1788301	S	10	0	10	0.00002
Pseudomonas frederiksbergensis	104087	S	10	1	11	0.00003
Pseudomonas baltica	2762576	S	10	0	10	0.00002
Pseudomonas abietaniphila	89065	S	10	0	10	0.00002
uncultured Pseudomonas sp.	114707	S	10	0	10	0.00002
Pseudomonas phytophila	2867264	S	10	0	10	0.00002
Stutzerimonas stutzeri	316	S	78	24	102	0.00025
Stutzerimonas balearica	74829	S	19	5	24	0.00006
Azotobacter chroococcum	353	S	10	16	26	0.00006
Marinobacter sp. CA1	2817656	S	10	11	21	0.00005
Marinobacter salarius	1420917	S	14	11	25	0.00006
Pseudoxanthomonas mexicana	128785	S	799	134	933	0.00225
Pseudoxanthomonas sp. SE1	1664560	S	41	4	45	0.00011
Pseudoxanthomonas sp. SL93	2995142	S	22	2	24	0.00006
Pseudoxanthomonas sp. X-1	2571115	S	12	2	14	0.00003
Pseudoxanthomonas sp.	1871049	S	10	0	10	0.00002
Pseudoxanthomonas suwonensis	314722	S	51	5	56	0.00014
Pseudoxanthomonas daejeonensis	266062	S	23	2	25	0.00006
Pseudoxanthomonas spadix	415229	S	15	1	16	0.00004
Pseudoxanthomonas winnipegensis	2480810	S	15	2	17	0.00004
Stenotrophomonas maltophilia	40324	S	176	172	348	0.00084
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	10	11	21	0.00005
Stenotrophomonas sp. 610A2	3055080	S	42	4	46	0.00011
Stenotrophomonas sp. NA06056	2742129	S	10	13	23	0.00006
Stenotrophomonas acidaminiphila	128780	S	122	100	222	0.00054
Stenotrophomonas rhizophila	216778	S	20	2	22	0.00005
Stenotrophomonas oahuensis	3003271	S	18	4	22	0.00005
Lysobacter sp. 5GHs7-4	2904253	S	18	3	21	0.00005
Lysobacter sp. TY2-98	2290922	S	16	1	17	0.00004
Lysobacter sp. K5869	2820808	S	15	5	20	0.00005
Lysobacter sp. CW239	2762611	S	12	1	13	0.00003
Lysobacter sp. S4-A87	2925843	S	12	2	14	0.00003
Lysobacter oculi	2698682	S	66	6	72	0.00017
Lysobacter enzymogenes	69	S	54	67	121	0.00029
Lysobacter capsici	435897	S	47	19	66	0.00016
Lysobacter lycopersici	1324796	S	32	2	34	0.00008
Lysobacter soli	453783	S	23	4	27	0.00007
Lysobacter soyae	2764185	S	17	1	18	0.00004
Lysobacter maris	1605891	S	16	1	17	0.00004
Lysobacter firmicutimachus	1792846	S	16	0	16	0.00004
Lysobacter auxotrophicus	2992573	S	13	2	15	0.00004
Lysobacter alkalisoli	2591633	S	13	1	14	0.00003
Lysobacter antibioticus	84531	S	12	1	13	0.00003
Lysobacter solisilvae	2763317	S	11	0	11	0.00003
Lysobacter terrestris	2865112	S	11	1	12	0.00003
Xanthomonas sp. DAR 80977	3160842	S	12	0	12	0.00003
Xanthomonas translucens	343	S	42	50	92	0.00022
Xanthomonas campestris	339	S	34	16	50	0.00012
Xanthomonas citri	346	S	29	86	115	0.00028
Xanthomonas oryzae	347	S	26	17	43	0.00010
Xanthomonas sacchari	56458	S	26	6	32	0.00008
Xanthomonas arboricola	56448	S	21	15	36	0.00009
Xanthomonas albilineans	29447	S	12	0	12	0.00003
Xanthomonas hortorum	56454	S	12	4	16	0.00004
Xanthomonas prunicola	2053930	S	11	1	12	0.00003
Xanthomonas fragariae	48664	S	10	0	10	0.00002
Thermomonas sp. XSG	2771436	S	63	11	74	0.00018
Thermomonas sp. HDW16	2714945	S	33	4	37	0.00009
Thermomonas aquatica	2202149	S	46	8	54	0.00013
Thermomonas brevis	215691	S	36	6	42	0.00010
Thermomonas carbonis	1463158	S	23	2	25	0.00006
Thermomonas paludicola	2884874	S	13	1	14	0.00003
Luteimonas sp. YGD11-2	2508168	S	16	6	22	0.00005
Luteimonas sp. JM171	1896164	S	14	1	15	0.00004
Luteimonas sp. MC1572	2799325	S	10	4	14	0.00003
Luteimonas granuli	1176533	S	10	2	12	0.00003
Arenimonas daejeonensis	370777	S	18	1	19	0.00005
Pseudolysobacter antarcticus	2511995	S	11	0	11	0.00003
Dyella sp. BiH032	3075430	S	10	0	10	0.00002
Dyella thiooxydans	445710	S	18	2	20	0.00005
Dyella japonica	231455	S	10	1	11	0.00003
Rhodanobacter thiooxydans	416169	S	15	9	24	0.00006
Tahibacter amnicola	2976241	S	22	0	22	0.00005
Dokdonella koreensis	323415	S	19	4	23	0.00006
Aerosticca soli	2010829	S	11	1	12	0.00003
Shewanella xiamenensis	332186	S	15	55	70	0.00017
Shewanella baltica	62322	S	10	36	46	0.00011
Pseudoalteromonas rubra	43658	S	12	46	58	0.00014
Vibrio parahaemolyticus	670	S	19	27	46	0.00011
Vibrio campbellii	680	S	11	45	56	0.00014
Vibrio vulnificus	672	S	18	5	23	0.00006
Vibrio cholerae	666	S	13	42	55	0.00013
Vibrio navarrensis	29495	S	10	12	22	0.00005
Photobacterium damselae	38293	S	14	8	22	0.00005
Photobacterium leiognathi	553611	S	13	5	18	0.00004
Alcanivorax sp.	1872427	S	12	7	19	0.00005
Rheinheimera sp. F8	1763998	S	15	1	16	0.00004
Thiorhodovibrio frisius	631362	S	10	0	10	0.00002
Candidatus Thiodictyon syntrophicum	1166950	S	16	1	17	0.00004
Thiocystis violascens	73141	S	12	1	13	0.00003
Marichromatium purpuratum	37487	S	10	2	12	0.00003
Thioalkalivibrio paradoxus	108010	S	10	3	13	0.00003
Spiribacter halobius	2182432	S	13	1	14	0.00003
Acidihalobacter ferrooxydans	1765967	S	10	1	11	0.00003
Cellvibrio sp. KY-GH-1	2303332	S	48	1	49	0.00012
Cellvibrio sp. PSBB023	1945512	S	19	0	19	0.00005
Teredinibacter turnerae	2426	S	10	0	10	0.00002
Microbulbifer sp. SAOS-129_SWC	3145235	S	10	0	10	0.00002
Aequoribacter fuscus	2518989	S	10	0	10	0.00002
Haemophilus parainfluenzae	729	S	80	7	87	0.00021
Haemophilus influenzae	727	S	13	5	18	0.00004
Pasteurella multocida	747	S	10	6	16	0.00004
Gallibacterium anatis	750	S	10	0	10	0.00002
Methylomonas montana	3058963	S	10	17	27	0.00007
Methylococcus sp. EFPC2	2812648	S	14	8	22	0.00005
Methylococcus capsulatus	414	S	19	6	25	0.00006
Methylococcus mesophilus	2993564	S	11	3	14	0.00003
Thiothrix subterranea	2735563	S	16	2	18	0.00004
Thiothrix unzii	111769	S	15	3	18	0.00004
Thiothrix lacustris	525917	S	10	4	14	0.00003
Francisella philomiragia	28110	S	10	8	18	0.00004
Legionella pneumophila	446	S	17	12	29	0.00007
Solimonas sp. K1W22B-7	2303331	S	12	0	12	0.00003
Sulfurivermis fontis	1972068	S	16	0	16	0.00004
Acidovorax temperans	80878	S	14662	3155	17817	0.04296
Acidovorax sp. KKS102	358220	S	1953	361	2314	0.00558
Acidovorax sp. DW039	3095606	S	204	0	204	0.00049
Acidovorax sp. FHTAMBA	3140252	S	188	0	188	0.00045
Acidovorax sp. 1608163	2478662	S	168	19	187	0.00045
Acidovorax sp. RAC01	1842533	S	146	23	169	0.00041
Acidovorax sp. JMULE5	2518343	S	143	20	163	0.00039
Acidovorax sp. HDW3	2714923	S	132	17	149	0.00036
Acidovorax sp. T1	1858609	S	123	49	172	0.00041
Acidovorax sp. A79	3056107	S	88	0	88	0.00021
Acidovorax sp. NCPPB 3576	2940488	S	24	6	30	0.00007
Acidovorax sp. GBBC 1281	2940492	S	14	6	20	0.00005
Acidovorax carolinensis	553814	S	173	33	206	0.00050
Acidovorax radicis	758826	S	60	5	65	0.00016
Diaphorobacter limosus	3036128	S	1541	261	1802	0.00434
Diaphorobacter sp. HDW4B	2714925	S	120	6	126	0.00030
Diaphorobacter sp. HDW4A	2714924	S	106	11	117	0.00028
Diaphorobacter sp. JS3050	2735554	S	93	161	254	0.00061
Diaphorobacter sp. JS3051	2792224	S	78	155	233	0.00056
Diaphorobacter sp. ED-3	3016636	S	73	123	196	0.00047
Diaphorobacter sp. MNS-0	2866628	S	61	86	147	0.00035
Diaphorobacter sp. C33	3060154	S	60	54	114	0.00027
[Acidovorax] ebreus	721785	S	35	31	66	0.00016
Diaphorobacter aerolatus	1288495	S	28	3	31	0.00007
Diaphorobacter nitroreducens	164759	S	25	13	38	0.00009
Diaphorobacter ruginosibacter	1715720	S	22	1	23	0.00006
Comamonas sp. B21-038	2918299	S	45	9	54	0.00013
Comamonas sp. Y33R10-2	2853257	S	43	4	47	0.00011
Comamonas sp. GB3 AK4-5	3231487	S	39	0	39	0.00009
Comamonas sp. NLF-1-9	2853163	S	31	5	36	0.00009
Comamonas aquatica	225991	S	177	29	206	0.00050
Comamonas thiooxydans	363952	S	130	110	240	0.00058
Comamonas testosteroni	285	S	124	95	219	0.00053
Comamonas fluminis	2796366	S	101	11	112	0.00027
Comamonas odontotermitis	379895	S	81	6	87	0.00021
Comamonas terrigena	32013	S	66	7	73	0.00018
Comamonas antarctica	2743470	S	64	9	73	0.00018
Comamonas resistens	3046670	S	53	11	64	0.00015
Comamonas kerstersii	225992	S	52	5	57	0.00014
Comamonas piscis	1562974	S	44	5	49	0.00012
Comamonas flocculans	2597701	S	37	6	43	0.00010
Comamonas serinivorans	1082851	S	36	2	38	0.00009
Comamonas endophytica	2949090	S	35	4	39	0.00009
Variovorax sp. HW608	1034889	S	37	4	41	0.00010
Variovorax sp. PAMC28562	2762323	S	37	3	40	0.00010
Variovorax sp. V15	3065952	S	34	0	34	0.00008
Variovorax sp. PAMC 28711	1795631	S	32	4	36	0.00009
Variovorax sp. WDL1	207745	S	31	20	51	0.00012
Variovorax sp. PBS-H4	434008	S	31	8	39	0.00009
Variovorax sp. PBL-H6	434009	S	28	24	52	0.00013
Variovorax sp. V213	3065955	S	25	0	25	0.00006
Variovorax sp. RA8	662548	S	24	10	34	0.00008
Variovorax sp. PAMC26660	2762322	S	23	6	29	0.00007
Variovorax sp. RKNM96	2681552	S	21	9	30	0.00007
Variovorax sp. 38R	2774875	S	15	16	31	0.00007
Variovorax sp. SRS16	282217	S	13	27	40	0.00010
Variovorax sp. V116	3065953	S	10	0	10	0.00002
Variovorax sp. PBL-E5	434014	S	10	27	37	0.00009
Variovorax paradoxus	34073	S	197	70	267	0.00064
Variovorax boronicumulans	436515	S	23	23	46	0.00011
Hydrogenophaga sp. SL48	2806347	S	95	11	106	0.00026
Hydrogenophaga sp. NH-16	2184519	S	56	46	102	0.00025
Hydrogenophaga sp. BPS33	2651974	S	56	6	62	0.00015
Hydrogenophaga sp. PBC	795665	S	47	9	56	0.00014
Hydrogenophaga sp. RAC07	1842537	S	46	8	54	0.00013
Hydrogenophaga sp. PBL-H3	434010	S	41	7	48	0.00012
Hydrogenophaga sp. PAMC20947	2565558	S	32	1	33	0.00008
Hydrogenophaga sp. SNF1	3098762	S	19	15	34	0.00008
Hydrogenophaga sp. YM1	2806262	S	17	13	30	0.00007
Hydrogenophaga taeniospiralis	65656	S	83	9	92	0.00022
Hydrogenophaga pseudoflava	47421	S	45	31	76	0.00018
uncultured Hydrogenophaga sp.	199683	S	39	4	43	0.00010
Hydrogenophaga crocea	2716225	S	37	5	42	0.00010
Hydrogenophaga crassostreae	1763535	S	23	0	23	0.00006
Ottowia testudinis	2816950	S	262	28	290	0.00070
Ottowia sp. SB7-C50	3081231	S	221	41	262	0.00063
Ottowia sp. oral taxon 894	1658672	S	31	2	33	0.00008
Ottowia oryzae	2109914	S	161	17	178	0.00043
Rhodoferax sp. WC2427	3234144	S	35	0	35	0.00008
Rhodoferax sp. AJA081-3	2752316	S	34	1	35	0.00008
Rhodoferax sp. BAB1	2741720	S	28	3	31	0.00007
Rhodoferax sp. PAMC 29310	2822760	S	27	1	28	0.00007
Rhodoferax sp. GW822-FHT02A01	3141537	S	22	0	22	0.00005
Rhodoferax sediminis	2509614	S	42	3	45	0.00011
Rhodoferax saidenbachensis	1484693	S	37	2	39	0.00009
Rhodoferax koreense	1842727	S	35	4	39	0.00009
Rhodoferax antarcticus	81479	S	29	1	30	0.00007
Rhodoferax ferrireducens	192843	S	27	1	28	0.00007
Rhodoferax aquaticus	2527691	S	22	0	22	0.00005
Rhodoferax mekongensis	3068341	S	16	2	18	0.00004
Rhodoferax lithotrophicus	2798804	S	13	19	32	0.00008
uncultured Rhodoferax sp.	223188	S	10	13	23	0.00006
Delftia tsuruhatensis	180282	S	56	61	117	0.00028
Delftia lacustris	558537	S	50	99	149	0.00036
Delftia acidovorans	80866	S	38	26	64	0.00015
