name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter sp. KCTC 92772	3045147	S	1330	39	1369	0.00330
Acinetobacter sp. NEB 394	2743575	S	349	90	439	0.00106
Acinetobacter sp. XH1639	3157368	S	325	0	325	0.00078
Acinetobacter sp. WCHA45	2004644	S	304	72	376	0.00091
Acinetobacter sp. WCHAc010034	1879049	S	131	4	135	0.00033
Acinetobacter sp. ACNIH2	1758189	S	126	69	195	0.00047
Acinetobacter sp. WCHA55	2004646	S	108	9	117	0.00028
Acinetobacter sp. SCLZS86	2908637	S	105	14	119	0.00029
Acinetobacter sp. CS-2	2798861	S	101	5	106	0.00026
Acinetobacter sp. PK01	2930198	S	90	50	140	0.00034
Acinetobacter sp. A1-4-2	3156489	S	68	0	68	0.00016
Acinetobacter sp. TR11	3003393	S	47	43	90	0.00022
Acinetobacter sp. TTH0-4	1646498	S	42	1	43	0.00010
Acinetobacter sp. TR3	3003392	S	39	37	76	0.00018
Acinetobacter sp. Z1	2953738	S	34	1	35	0.00008
Acinetobacter sp. TGL-Y2	1407071	S	28	0	28	0.00007
Acinetobacter sp. Marseille-Q1620	2714110	S	27	0	27	0.00007
Acinetobacter sp. ESL0695	2983215	S	20	0	20	0.00005
Acinetobacter sp. C32I	2950074	S	20	0	20	0.00005
Acinetobacter sp. 10FS3-1	2563897	S	19	1	20	0.00005
Acinetobacter sp. GSS19	3020716	S	18	0	18	0.00004
Acinetobacter sp. YH16056_T	2929514	S	18	14	32	0.00008
Acinetobacter sp. NCu2D-2	1608473	S	16	0	16	0.00004
Acinetobacter sp. LUNF3	2925837	S	16	8	24	0.00006
Acinetobacter sp. KS-LM10	3120518	S	15	0	15	0.00004
Acinetobacter sp. ANC 7201	3035288	S	12	2	14	0.00003
Acinetobacter sp. YH16040_T	2929512	S	12	11	23	0.00006
Acinetobacter sp. YH12068_T	2929515	S	11	13	24	0.00006
Acinetobacter sp. SWBY1	2079596	S	11	3	14	0.00003
Acinetobacter sp. LoGeW2-3	1808001	S	10	0	10	0.00002
Acinetobacter sp. ASP199	2773709	S	10	0	10	0.00002
Acinetobacter johnsonii	40214	S	3281	391	3672	0.00885
Acinetobacter baumannii	470	S	450	1220	1670	0.00403
Acinetobacter pittii	48296	S	84	13	97	0.00023
