name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Polaromonas sp. JS666	296591	S	106	100	206	0.00058
Polaromonas naphthalenivorans	216465	S	75	29	104	0.00029
Polaromonas hydrogenivorans	335476	S	66	0	66	0.00019
Polaromonas vacuolata	37448	S	20	7	27	0.00008
Paracidovorax avenae	80867	S	197	195	392	0.00110
Paracidovorax citrulli	80869	S	31	14	45	0.00013
Paracidovorax cattleyae	80868	S	27	11	38	0.00011
Melaminivora jejuensis	1267217	S	160	32	192	0.00054
Melaminivora suipulveris	2109913	S	107	25	132	0.00037
Limnohabitans sp. 63ED37-2	1678128	S	54	4	58	0.00016
Limnohabitans sp. MORI2	1751150	S	39	4	43	0.00012
Limnohabitans sp. TEGF004	2986281	S	31	5	36	0.00010
Limnohabitans sp. 103DPR2	1678129	S	30	1	31	0.00009
Limnohabitans sp. INBF002	2986280	S	26	5	31	0.00009
Serpentinimonas maccroryi	1458426	S	103	14	117	0.00033
Serpentinimonas raichei	1458425	S	80	10	90	0.00025
Paenacidovorax monticola	1926868	S	147	29	176	0.00050
Oryzisolibacter sp. LB2S	3228789	S	125	0	125	0.00035
Simplicispira suum	2109915	S	122	12	134	0.00038
Verminephrobacter eiseniae	364317	S	79	7	86	0.00024
Pulveribacter suum	2116657	S	78	17	95	0.00027
Vandammella animalimorsus	2029117	S	66	0	66	0.00019
Hylemonella gracilis	80880	S	53	4	57	0.00016
Curvibacter sp. AEP1-3	1844971	S	38	7	45	0.00013
Candidatus Symbiobacter mobilis	1436290	S	24	0	24	0.00007
Burkholderia cepacia	292	S	101	50	151	0.00043
Burkholderia multivorans	87883	S	90	32	122	0.00034
Burkholderia ubonensis	101571	S	77	39	116	0.00033
Burkholderia cenocepacia	95486	S	55	65	120	0.00034
Burkholderia pyrrocinia	60550	S	53	23	76	0.00021
Burkholderia contaminans	488447	S	46	25	71	0.00020
Burkholderia ambifaria	152480	S	46	22	68	0.00019
Burkholderia anthina	179879	S	30	13	43	0.00012
Burkholderia stagnalis	1503054	S	28	7	35	0.00010
Burkholderia latens	488446	S	26	6	32	0.00009
Burkholderia dolosa	152500	S	25	6	31	0.00009
Burkholderia vietnamiensis	60552	S	25	35	60	0.00017
Burkholderia territorii	1503055	S	21	8	29	0.00008
Burkholderia lata	482957	S	19	16	35	0.00010
Burkholderia stabilis	95485	S	19	9	28	0.00008
Burkholderia pseudomultivorans	1207504	S	16	5	21	0.00006
Burkholderia metallica	488729	S	15	6	21	0.00006
Burkholderia arboris	488730	S	13	5	18	0.00005
Burkholderia diffusa	488732	S	11	4	15	0.00004
Burkholderia pseudomallei	28450	S	69	384	453	0.00128
Burkholderia thailandensis	57975	S	28	607	635	0.00179
Burkholderia mayonis	1385591	S	22	3	25	0.00007
Burkholderia singularis	1503053	S	15	0	15	0.00004
Burkholderia sp. FERM BP-3421	1494466	S	34	3	37	0.00010
Burkholderia sp. NRF60-BP8	1637853	S	13	5	18	0.00005
Burkholderia sp. THE68	758782	S	12	10	22	0.00006
Burkholderia sp. PAMC 26561	1795043	S	12	24	36	0.00010
Burkholderia gladioli	28095	S	107	21	128	0.00036
Burkholderia glumae	337	S	54	11	65	0.00018
Burkholderia plantarii	41899	S	25	5	30	0.00008
Burkholderia perseverans	2615214	S	11	2	13	0.00004
Cupriavidus taiwanensis	164546	S	173	47	220	0.00062
Cupriavidus pauculus	82633	S	156	18	174	0.00049
Cupriavidus sp. EM10	2839983	S	42	6	48	0.00014
Cupriavidus sp. WKF15	3032282	S	29	4	33	0.00009
Cupriavidus sp. USMAA2-4	876364	S	12	36	48	0.00014
Cupriavidus sp. MP-37	2884455	S	10	4	14	0.00004
Cupriavidus basilensis	68895	S	91	15	106	0.00030
Cupriavidus necator	106590	S	63	16	79	0.00022
Cupriavidus oxalaticus	96344	S	49	8	57	0.00016
Cupriavidus metallidurans	119219	S	49	1451	1500	0.00422
Cupriavidus campinensis	151783	S	48	5	53	0.00015
Cupriavidus gilardii	82541	S	38	7	45	0.00013
Cupriavidus cauae	2608999	S	36	7	43	0.00012
Cupriavidus pinatubonensis	248026	S	33	2	35	0.00010
Cupriavidus nantongensis	1796606	S	21	10	31	0.00009
Cupriavidus neocaledonicus	1040979	S	17	6	23	0.00006
Paraburkholderia sp. D15	2880218	S	26	6	32	0.00009
Paraburkholderia sp. SOS3	1926494	S	25	4	29	0.00008
Paraburkholderia sp. IMGN_8	3136564	S	25	0	25	0.00007
Paraburkholderia sp. SUR17	3034358	S	19	2	21	0.00006
Paraburkholderia sp. PGU19	2735434	S	15	11	26	0.00007
Paraburkholderia sp. PREW-6R	3141544	S	14	0	14	0.00004
Paraburkholderia fungorum	134537	S	37	9	46	0.00013
Paraburkholderia tropica	92647	S	36	6	42	0.00012
Paraburkholderia caribensis	75105	S	35	22	57	0.00016
Paraburkholderia phenoliruptrix	252970	S	32	11	43	0.00012
Paraburkholderia aromaticivorans	2026199	S	31	12	43	0.00012
Paraburkholderia pallida	2547399	S	31	4	35	0.00010
