# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
3028878	13.0	0.0	0.0
2822844	11.0	0.0	0.0
44012	16.0	0.0	0.0
3040943	22.0	0.0	20.0
3021710	15.0	0.0	0.0
2785785	12.0	0.0	0.0
107637	21.0	0.0	0.0
702114	43.0	0.0	0.0
2963939	15.0	0.0	0.0
421	14.0	0.0	0.0
3058963	14.0	27.0	0.0
1538553	13.0	0.0	32.0
414	63.0	25.0	61.0
2812648	45.0	22.0	24.0
2681310	20.0	0.0	18.0
2993564	19.0	14.0	15.0
1432792	32.0	0.0	13.0
73780	13.0	0.0	0.0
1760988	27.0	0.0	11.0
39775	23.0	0.0	0.0
1808979	22.0	0.0	0.0
1295382	20.0	0.0	16.0
3108543	16.0	0.0	0.0
2911520	12.0	0.0	0.0
1704499	11.0	0.0	0.0
3133976	10.0	0.0	0.0
438856	28.0	0.0	0.0
2708301	49.0	0.0	0.0
2518989	40.0	10.0	16.0
930805	17.0	0.0	0.0
2601894	16.0	0.0	0.0
393662	20.0	0.0	0.0
3145235	15.0	10.0	0.0
2745199	34.0	0.0	0.0
86173	19.0	0.0	0.0
407164	17.0	0.0	0.0
1769779	13.0	0.0	0.0
2426	21.0	10.0	0.0
3022676	16.0	0.0	0.0
2909669	14.0	0.0	0.0
2303332	13.0	49.0	0.0
2794344	13.0	0.0	0.0
729	57.0	87.0	30.0
727	40.0	18.0	0.0
67854	16.0	0.0	0.0
718	30.0	0.0	0.0
85402	16.0	0.0	0.0
85404	24.0	0.0	0.0
738	30.0	0.0	0.0
747	28.0	16.0	0.0
732	17.0	0.0	0.0
728	16.0	0.0	0.0
2735563	21.0	18.0	22.0
2891210	19.0	0.0	0.0
111769	13.0	18.0	15.0
754477	26.0	0.0	0.0
2039724	19.0	0.0	0.0
2303331	29.0	12.0	14.0
2698684	28.0	0.0	0.0
2806210	19.0	0.0	0.0
1248727	68.0	0.0	0.0
3057176	67.0	0.0	24.0
446	37.0	29.0	21.0
28087	18.0	0.0	0.0
96230	10.0	0.0	0.0
1675686	22.0	0.0	10.0
1620215	15.0	0.0	0.0
163359	12.0	0.0	0.0
1810504	45.0	0.0	11.0
2738883	15.0	0.0	0.0
1400862	15.0	0.0	0.0
2738886	10.0	0.0	0.0
1972068	37.0	16.0	16.0
465721	23.0	0.0	13.0
2183911	17.0	0.0	10.0
1548547	10.0	0.0	0.0
80878	10104.0	17817.0	17846.0
358220	2803.0	2314.0	3497.0
3140252	216.0	188.0	310.0
2714923	248.0	149.0	498.0
2518343	192.0	163.0	261.0
2478662	163.0	187.0	234.0
1842533	170.0	169.0	287.0
1858609	198.0	172.0	341.0
3095606	123.0	204.0	218.0
3056107	107.0	88.0	157.0
2940492	61.0	20.0	67.0
2940488	35.0	30.0	79.0
553814	253.0	206.0	479.0
758826	103.0	65.0	133.0
3036128	1957.0	1802.0	4159.0
2714925	177.0	126.0	145.0
2714924	146.0	117.0	176.0
2735554	248.0	254.0	468.0
2792224	215.0	233.0	317.0
3060154	126.0	114.0	219.0
3016636	187.0	196.0	238.0
2866628	143.0	147.0	225.0
1715720	49.0	23.0	62.0
1288495	49.0	31.0	110.0
721785	61.0	66.0	127.0
164759	44.0	38.0	60.0
2853163	101.0	36.0	113.0
3231487	77.0	39.0	96.0
2918299	69.0	54.0	82.0
2853257	56.0	47.0	57.0
2966554	50.0	0.0	89.0
225991	340.0	206.0	435.0
285	425.0	219.0	502.0
363952	313.0	240.0	500.0
2796366	173.0	112.0	196.0
2597701	122.0	43.0	112.0
225992	103.0	57.0	116.0
32013	101.0	73.0	135.0
379895	96.0	87.0	147.0
3046670	94.0	64.0	181.0
1082851	80.0	38.0	116.0
2743470	68.0	73.0	113.0
1562974	47.0	49.0	82.0
2949090	41.0	39.0	94.0
160825	32.0	0.0	41.0
3081231	689.0	262.0	440.0
1658672	57.0	33.0	82.0
2816950	527.0	290.0	428.0
2109914	349.0	178.0	300.0
1034889	114.0	41.0	230.0
207745	101.0	51.0	196.0
